2024-11-27 16:59:08, RSSI: Device not found dBm
2024-11-27 17:08:03, RSSI: Device not found dBm
2024-11-27 17:11:36, Device not found.
2024-11-27 20:38:47, RSSI: -82 dBm
2024-11-27 20:42:50, RSSI: -69 dBm
2024-11-27 20:43:00, RSSI: -69 dBm
2024-11-27 20:43:10, RSSI: -70 dBm
2024-11-27 20:43:20, RSSI: -65 dBm
2024-11-27 20:43:30, RSSI: -71 dBm
2024-11-27 20:43:40, RSSI: -71 dBm
2024-11-27 20:43:50, RSSI: -79 dBm
2024-11-27 20:44:00, RSSI: -80 dBm
2024-11-27 20:44:11, RSSI: -67 dBm
2024-11-27 20:44:21, RSSI: -75 dBm
2024-11-27 20:44:31, RSSI: -64 dBm
2024-11-27 20:44:41, RSSI: -74 dBm
2024-11-27 20:46:37, RSSI: -74 dBm
2024-11-27 20:46:47, RSSI: -68 dBm
2024-11-27 20:46:57, RSSI: -65 dBm
2024-11-27 20:47:07, RSSI: -57 dBm
2024-11-27 20:47:17, RSSI: -54 dBm
2024-11-27 20:47:27, RSSI: -35 dBm
2024-11-27 20:47:37, RSSI: -75 dBm
2024-11-27 20:47:48, RSSI: -88 dBm
2024-11-27 20:47:58, RSSI: -92 dBm
2024-11-27 20:48:08, RSSI: -85 dBm
2024-11-27 20:48:18, RSSI: -86 dBm
2024-11-27 20:48:28, RSSI: -94 dBm
2024-11-27 20:48:38, RSSI: -89 dBm
2024-11-27 20:48:48, RSSI: -84 dBm
2024-11-27 20:48:58, RSSI: -73 dBm
2024-11-27 20:49:08, RSSI: -65 dBm
2024-11-27 20:49:18, RSSI: -67 dBm
2024-11-27 20:49:28, RSSI: -76 dBm
2024-11-27 20:56:33, RSSI: -77 dBm
2024-11-27 20:56:43, RSSI: -75 dBm
2024-11-27 20:57:36, RSSI: -77 dBm
2024-11-27 20:57:47, RSSI: -72 dBm
2024-11-27 20:57:57, RSSI: -67 dBm
2024-11-27 20:58:07, RSSI: -71 dBm
2024-11-27 20:58:17, RSSI: -73 dBm
2024-11-27 20:58:27, RSSI: -81 dBm
2024-11-27 20:58:37, RSSI: -83 dBm
2024-11-27 20:58:47, RSSI: -87 dBm
2024-11-27 20:58:47, RSSI: Device out of range dBm
2024-11-27 21:07:43, RSSI: -67 dBm
2024-11-27 21:07:53, RSSI: -66 dBm
2024-11-27 21:08:03, RSSI: -72 dBm
2024-11-27 21:08:13, RSSI: -69 dBm
2024-11-27 21:08:23, RSSI: -65 dBm
2024-11-27 21:08:33, RSSI: -71 dBm
2024-11-27 21:08:43, RSSI: -57 dBm
2024-11-27 21:08:53, RSSI: -77 dBm
2024-11-27 21:09:03, RSSI: -80 dBm
2024-11-27 21:09:13, RSSI: -90 dBm
2024-11-27 21:09:13, RSSI: Device out of range dBm
2024-11-27 21:15:03, RSSI: -67 dBm
2024-11-27 21:15:14, RSSI: -62 dBm
2024-11-27 21:15:24, RSSI: -65 dBm
2024-11-27 21:15:34, RSSI: -72 dBm
2024-11-27 21:15:44, RSSI: -68 dBm
2024-11-27 21:15:54, RSSI: -80 dBm
2024-11-27 21:16:04, RSSI: -69 dBm
2024-11-27 21:16:14, RSSI: -79 dBm
2024-11-27 21:16:24, RSSI: -79 dBm
2024-11-27 21:16:34, RSSI: -86 dBm
2024-11-27 21:16:34, RSSI: Device out of range dBm
2024-11-28 10:22:10, RSSI: -68 dBm
2024-11-28 10:22:20, RSSI: -68 dBm
2024-11-28 10:22:30, RSSI: -74 dBm
2024-11-28 10:22:40, RSSI: -80 dBm
2024-11-28 10:22:50, RSSI: -92 dBm
2024-11-28 10:22:50, RSSI: Device out of range dBm
2024-11-28 10:33:10, RSSI: Device not found dBm
2024-11-28 10:33:20, RSSI: Device not found dBm
2024-11-28 10:34:01, RSSI: -71 dBm
2024-11-28 10:34:11, RSSI: -64 dBm
2024-11-28 10:34:22, RSSI: -75 dBm
2024-11-28 10:34:32, RSSI: -87 dBm
2024-11-28 10:34:32, RSSI: Device out of range dBm
2024-11-28 10:46:20, RSSI: -72 dBm
2024-11-28 10:46:30, RSSI: -73 dBm
2024-11-28 10:46:40, RSSI: -87 dBm
2024-11-28 10:46:40, RSSI: Device out of range dBm
2024-11-28 10:48:10, RSSI: -71 dBm
2024-11-28 10:48:21, RSSI: -71 dBm
2024-11-28 10:48:31, RSSI: -90 dBm
2024-11-28 10:48:31, RSSI: Device out of range dBm
2024-11-28 10:58:13, RSSI: -66 dBm
2024-11-28 10:58:23, RSSI: -71 dBm
2024-11-28 10:58:33, RSSI: -82 dBm
2024-11-28 10:58:43, RSSI: -85 dBm
2024-11-28 10:58:43, RSSI: Device out of range dBm
2024-11-28 11:04:06, RSSI: -79 dBm
2024-11-28 11:04:16, RSSI: -65 dBm
2024-11-28 11:04:27, RSSI: -88 dBm
2024-11-28 11:04:27, RSSI: Device out of range dBm
2024-11-28 14:04:25, RSSI: -72 dBm
2024-11-28 14:04:35, RSSI: -74 dBm
2024-11-28 14:04:45, RSSI: -86 dBm
2024-11-28 14:04:45, RSSI: Device out of range dBm
2024-11-28 14:06:27, RSSI: -71 dBm
2024-11-28 14:06:37, RSSI: -90 dBm
2024-11-28 14:06:37, RSSI: Device out of range dBm
2024-11-28 14:45:52, RSSI: -71 dBm
2024-11-28 14:46:02, RSSI: -66 dBm
2024-11-28 14:46:12, RSSI: -77 dBm
2024-11-28 14:46:22, RSSI: -80 dBm
2024-11-28 14:46:32, RSSI: -86 dBm
2024-11-28 14:46:32, RSSI: Device out of range dBm
2024-11-28 14:50:18, RSSI: -73 dBm
